patient,phase,method,f1,recall,precision,f1_lower,f1_upper,auc,mcc,balanced_accuracy
chb14,PHASE7,PRODUCTION,0.0,0.0,0.0,,,,,
chb22,PHASE7,PRODUCTION,0.0,0.0,0.0,,,,,
chb02,PHASE7,PRODUCTION,0.0,0.0,0.0,,,,,
chb05,PHASE7,PRODUCTION,0.0,0.0,0.0,,,,,
chb09,PHASE7,PRODUCTION,0.0,0.0,0.0,,,,,
chb14,PHASE7,ADAPTIVE_THRESHOLD,0.2142857142857142,0.375,0.15,,,,,
chb22,PHASE7,ADAPTIVE_THRESHOLD,0.4615384615384615,1.0,0.3,,,,,
chb02,PHASE7,ADAPTIVE_THRESHOLD,0.8571428571428571,1.0,0.75,,,,,
chb05,PHASE7,ADAPTIVE_THRESHOLD,0.1587301587301587,1.0,0.0862068965517241,,,,,
chb09,PHASE7,ADAPTIVE_THRESHOLD,0.6666666666666666,1.0,0.5,,,,,
chb02,PHASE7,CALIBRATION,0.8,0.6666666666666666,1.0,,,,,
chb05,PHASE7,CALIBRATION,0.1923076923076923,1.0,0.1063829787234042,,,,,
chb09,PHASE7,CALIBRATION,0.5333333333333333,1.0,0.3636363636363636,,,,,
chb14,PHASE7,CALIBRATION,0.0,0.0,0.0,,,,,
chb22,PHASE7,CALIBRATION,0.2857142857142857,0.3333333333333333,0.25,,,,,
chb14,PHASE7,DOMAIN_SHIFT,0.0,0.0,0.0,,,,,
chb14,PHASE7,DOMAIN_SHIFT,0.0,0.0,0.0,,,,,
chb14,PHASE7,DOMAIN_SHIFT,0.0,0.0,0.0,,,,,
chb14,PHASE7,DOMAIN_SHIFT,0.0,0.0,0.0,,,,,
chb02,PHASE7,COMBINED,0.8,0.6666666666666666,1.0,,,,,
chb05,PHASE7,COMBINED,0.1923076923076923,1.0,0.1063829787234042,,,,,
chb09,PHASE7,COMBINED,0.5333333333333333,1.0,0.3636363636363636,,,,,
chb14,PHASE7,COMBINED,0.2142857142857142,0.375,0.15,,,,,
chb22,PHASE7,COMBINED,0.2857142857142857,0.3333333333333333,0.25,,,,,
chb14,PHASE7,BEST_ABLATION_ADAPTIVE_ONLY,0.2142857142857142,0.375,0.15,,,,,
chb22,PHASE7,BEST_ABLATION_ADAPTIVE_ONLY,0.4615384615384615,1.0,0.3,,,,,
chb02,PHASE7,BEST_ABLATION_BASELINE,0.8571428571428571,1.0,0.75,,,,,
chb05,PHASE7,BEST_ABLATION_CALIBRATION_ONLY,0.1923076923076923,1.0,0.1063829787234042,,,,,
chb09,PHASE7,BEST_ABLATION_BASELINE,0.6666666666666666,1.0,0.5,,,,,
chb02,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.0697,0.9468,0.0362,0.0583,0.0824,0.9891,0.1811,0.9546
chb05,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.0413,0.9759,0.0211,0.037,0.0452,0.9664,0.1285,0.8935
chb09,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.0084,0.9796,0.0042,0.0072,0.0098,0.9577,0.0543,0.8508
chb14,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.0,0.0,0.0,0.0,0.0,0.6593,-0.0013,0.4996
chb22,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.4539,0.8889,0.3048,0.401,0.5114,0.9957,0.5191,0.9425
OVERALL,PHASE7_5,TRUE_GENERALIZATION_RECOVERY,0.024008616469205914,0.0,0.0,,,0.8815912937529465,0.08979881999380196,0.8428897443580683
